,survey,station,run,latitude,longitude,elevation,component,start,end,n_samples,sample_rate,measurement_type,azimuth,tilt,units,hdf5_reference
0,CONUS Sout,CAS04,a,37.633351,-121.468382,329.3875,ex,2020-06-02 19:00:00,2020-06-02 22:07:46,11267,1.0,electric,13.2,0.0,digital counts,<HDF5 object reference>
1,CONUS Sout,CAS04,a,37.633351,-121.468382,329.3875,ey,2020-06-02 19:00:00,2020-06-02 22:07:46,11267,1.0,electric,103.2,0.0,digital counts,<HDF5 object reference>
2,CONUS Sout,CAS04,a,37.633351,-121.468382,329.3875,hx,2020-06-02 19:00:00,2020-06-02 22:07:46,11267,1.0,magnetic,13.2,0.0,digital counts,<HDF5 object reference>
3,CONUS Sout,CAS04,a,37.633351,-121.468382,329.3875,hy,2020-06-02 19:00:00,2020-06-02 22:07:46,11267,1.0,magnetic,103.2,0.0,digital counts,<HDF5 object reference>
4,CONUS Sout,CAS04,a,37.633351,-121.468382,329.3875,hz,2020-06-02 19:00:00,2020-06-02 22:07:46,11267,1.0,magnetic,0.0,0.0,digital counts,<HDF5 object reference>
5,CONUS Sout,CAS04,b,37.633351,-121.468382,329.3875,ex,2020-06-02 22:24:55,2020-06-12 17:52:23,847649,1.0,electric,13.2,0.0,digital counts,<HDF5 object reference>
6,CONUS Sout,CAS04,b,37.633351,-121.468382,329.3875,ey,2020-06-02 22:24:55,2020-06-12 17:52:23,847649,1.0,electric,103.2,0.0,digital counts,<HDF5 object reference>
7,CONUS Sout,CAS04,b,37.633351,-121.468382,329.3875,hx,2020-06-02 22:24:55,2020-06-12 17:52:23,847649,1.0,magnetic,13.2,0.0,digital counts,<HDF5 object reference>
8,CONUS Sout,CAS04,b,37.633351,-121.468382,329.3875,hy,2020-06-02 22:24:55,2020-06-12 17:52:23,847649,1.0,magnetic,103.2,0.0,digital counts,<HDF5 object reference>
9,CONUS Sout,CAS04,b,37.633351,-121.468382,329.3875,hz,2020-06-02 22:24:55,2020-06-12 17:52:23,847649,1.0,magnetic,0.0,0.0,digital counts,<HDF5 object reference>
10,CONUS Sout,CAS04,c,37.633351,-121.468382,329.3875,ex,2020-06-12 18:32:17,2020-07-01 17:32:59,1638043,1.0,electric,13.2,0.0,digital counts,<HDF5 object reference>
11,CONUS Sout,CAS04,c,37.633351,-121.468382,329.3875,ey,2020-06-12 18:32:17,2020-07-01 17:32:59,1638043,1.0,electric,103.2,0.0,digital counts,<HDF5 object reference>
12,CONUS Sout,CAS04,c,37.633351,-121.468382,329.3875,hx,2020-06-12 18:32:17,2020-07-01 17:32:59,1638043,1.0,magnetic,13.2,0.0,digital counts,<HDF5 object reference>
13,CONUS Sout,CAS04,c,37.633351,-121.468382,329.3875,hy,2020-06-12 18:32:17,2020-07-01 17:32:59,1638043,1.0,magnetic,103.2,0.0,digital counts,<HDF5 object reference>
14,CONUS Sout,CAS04,c,37.633351,-121.468382,329.3875,hz,2020-06-12 18:32:17,2020-07-01 17:32:59,1638043,1.0,magnetic,0.0,0.0,digital counts,<HDF5 object reference>
15,CONUS Sout,CAS04,d,37.633351,-121.468382,329.3875,ex,2020-07-01 19:36:55,2020-07-13 19:00:00,1034586,1.0,electric,13.2,0.0,digital counts,<HDF5 object reference>
16,CONUS Sout,CAS04,d,37.633351,-121.468382,329.3875,ey,2020-07-01 19:36:55,2020-07-13 19:00:00,1034586,1.0,electric,103.2,0.0,digital counts,<HDF5 object reference>
17,CONUS Sout,CAS04,d,37.633351,-121.468382,329.3875,hx,2020-07-01 19:36:55,2020-07-13 19:00:00,1034586,1.0,magnetic,13.2,0.0,digital counts,<HDF5 object reference>
18,CONUS Sout,CAS04,d,37.633351,-121.468382,329.3875,hy,2020-07-01 19:36:55,2020-07-13 19:00:00,1034586,1.0,magnetic,103.2,0.0,digital counts,<HDF5 object reference>
19,CONUS Sout,CAS04,d,37.633351,-121.468382,329.3875,hz,2020-07-01 19:36:55,2020-07-13 19:00:00,1034586,1.0,magnetic,0.0,0.0,digital counts,<HDF5 object reference>
20,CONUS Sout,NVR08,a,38.32663,-118.082382,1375.425,ex,2020-06-03 19:10:11,2020-06-03 19:57:51,2861,1.0,electric,12.6,0.0,digital counts,<HDF5 object reference>
21,CONUS Sout,NVR08,a,38.32663,-118.082382,1375.425,ey,2020-06-03 19:10:11,2020-06-03 19:57:51,2861,1.0,electric,102.6,0.0,digital counts,<HDF5 object reference>
22,CONUS Sout,NVR08,a,38.32663,-118.082382,1375.425,hx,2020-06-03 19:10:11,2020-06-03 19:57:51,2861,1.0,magnetic,12.6,0.0,digital counts,<HDF5 object reference>
23,CONUS Sout,NVR08,a,38.32663,-118.082382,1375.425,hy,2020-06-03 19:10:11,2020-06-03 19:57:51,2861,1.0,magnetic,102.6,0.0,digital counts,<HDF5 object reference>
24,CONUS Sout,NVR08,a,38.32663,-118.082382,1375.425,hz,2020-06-03 19:10:11,2020-06-03 19:57:51,2861,1.0,magnetic,0.0,0.0,digital counts,<HDF5 object reference>
25,CONUS Sout,NVR08,b,38.32663,-118.082382,1375.425,ex,2020-06-03 20:14:13,2020-06-14 16:56:02,938510,1.0,electric,12.6,0.0,digital counts,<HDF5 object reference>
26,CONUS Sout,NVR08,b,38.32663,-118.082382,1375.425,ey,2020-06-03 20:14:13,2020-06-14 16:56:02,938510,1.0,electric,102.6,0.0,digital counts,<HDF5 object reference>
27,CONUS Sout,NVR08,b,38.32663,-118.082382,1375.425,hx,2020-06-03 20:14:13,2020-06-14 16:56:02,938510,1.0,magnetic,12.6,0.0,digital counts,<HDF5 object reference>
