,network,station,location,channel,start,end
0,EM,CAY10,,LFE,2019-10-07T00:00:00,2019-10-30T00:00:00
1,EM,CAY10,,LFN,2019-10-07T00:00:00,2019-10-30T00:00:00
2,EM,CAY10,,LFZ,2019-10-07T00:00:00,2019-10-30T00:00:00
3,EM,CAY10,,LQE,2019-10-07T00:00:00,2019-10-30T00:00:00
4,EM,CAY10,,LQN,2019-10-07T00:00:00,2019-10-30T00:00:00
5,ZU,CAS04,,LQE,2020-06-02T19:00:00,2020-07-13T19:00:00
6,ZU,CAS04,,LQN,2020-06-02T19:00:00,2020-07-13T19:00:00
7,ZU,CAS04,,LFE,2020-06-02T19:00:00,2020-07-13T19:00:00
8,ZU,CAS04,,LFN,2020-06-02T19:00:00,2020-07-13T19:00:00
9,ZU,CAS04,,LFZ,2020-06-02T19:00:00,2020-07-13T19:00:00
10,ZU,NVR08,,LQE,2020-06-02T19:00:00,2020-07-13T19:00:00
11,ZU,NVR08,,LQN,2020-06-02T19:00:00,2020-07-13T19:00:00
12,ZU,NVR08,,LFE,2020-06-02T19:00:00,2020-07-13T19:00:00
13,ZU,NVR08,,LFN,2020-06-02T19:00:00,2020-07-13T19:00:00
14,ZU,NVR08,,LFZ,2020-06-02T19:00:00,2020-07-13T19:00:00
